DMS 포집내역 (2018.4.30 ~ 2018.10.31),,,,,2018년,포집량,모기,기타
2018-07-21,4311,4232,79,,,,,
2018-07-22,4158,4105,53,,,,,
2018-07-23,4126,4077,49,,,,,
2018-07-24,4025,3972,53,,,,,
2018-07-25,4271,4223,48,,,,,
2018-07-26,4286,4230,56,,,,,
2018-07-27,4429,4382,47,,,,,
2018-07-28,3874,3828,46,,,,,
2018-07-29,3629,3579,50,,,,,
2018-07-30,4022,3975,47,,,,,
2018-07-31,2716,2685,31,,,,,
2018-08-01,2875,2834,41,,,,,
2018-08-02,2619,2589,30,,,,,
2018-08-03,2361,2337,24,,,,,
2018-08-04,2760,2732,28,,,,,
2018-08-05,2916,2888,28,,,,,
2018-08-06,3480,3455,25,,,,,
2018-08-07,3046,3021,25,,,,,
2018-08-08,2710,2696,14,,,,,
2018-08-09,2408,2383,25,,,,,
2018-08-10,3120,3102,18,,,,,
2018-08-11,2472,2453,19,,,,,
2018-08-12,2051,2041,10,,,,,
2018-08-13,2540,2527,13,,,,,
2018-08-14,2679,2650,29,,,,,
2018-08-15,2190,2175,15,,,,,
2018-08-16,1757,1746,11,,,,,
2018-08-17,1325,1318,7,,,,,
2018-08-18,1562,1551,11,,,,,
2018-08-19,1184,1176,8,,,,,
2018-08-20,1332,1326,6,,,,,
2018-08-21,829,823,6,,,,,
2018-08-22,1234,1222,12,,,,,
2018-08-23,1241,1229,12,,,,,
2018-08-24,1561,1543,8,,,,,
2018-08-25,1998,1985,13,,,,,
2018-08-26,2236,2221,15,,,,,
2018-08-27,1920,1914,6,,,,,
2018-08-28,1716,1709,7,,,,,
2018-08-29,2129,2116,13,,,,,
2018-08-30,1794,1770,24,,,,,
2018-08-31,1514,1498,16,,,,,
2018-09-01,1279,1261,18,,,,,
2018-09-02,1499,1487,12,,,,,
2018-09-03,1377,1360,17,,,,,
2018-09-04,1264,1260,4,,,,,
2018-09-05,1808,1799,9,,,,,
2018-09-06,1857,1846,11,,,,,
2018-09-07,1937,1911,26,,,,,
2018-09-08,1757,1744,13,,,,,
2018-09-09,1592,1571,21,,,,,
2018-09-10,1661,1649,12,,,,,
2018-09-11,1827,1815,12,,,,,
2018-09-12,1638,1626,12,,,,,
2018-09-13,1740,1725,15,,,,,
2018-09-14,2009,1990,19,,,,,
2018-09-15,2269,2254,15,,,,,
2018-09-16,2317,2295,22,,,,,
2018-09-17,3368,3336,32,,,,,
2018-09-18,3475,3450,25,,,,,
2018-09-19,3218,3183,35,,,,,
2018-09-20,3136,3112,24,,,,,
2018-09-21,3216,3194,22,,,,,
2018-09-22,2762,2737,25,,,,,
2018-09-23,3382,3348,34,,,,,
2018-09-24,3561,3542,19,,,,,
2018-09-25,2611,2591,20,,,,,
2018-09-26,2771,2757,14,,,,,
2018-09-27,2608,2587,21,,,,,
2018-09-28,2209,2200,9,,,,,
2018-09-29,1748,1731,17,,,,,
2018-09-30,2030,2018,12,,,,,
2018-10-01,2047,2031,16,,,,,
2018-10-02,1642,1634,8,,,,,
2018-10-03,1406,1396,10,,,,,
2018-10-04,1559,1549,10,,,,,
2018-10-05,2509,2487,22,,,,,
2018-10-06,1224,1221,3,,,,,
2018-10-07,1349,1340,9,,,,,
2018-10-08,1153,1149,4,,,,,
2018-10-09,754,752,2,,,,,
2018-10-10,1473,1464,9,,,,,
2018-10-11,269,269,0,,,,,
2018-10-12,298,296,2,,,,,
2018-10-13,330,329,1,,,,,
2018-10-14,354,351,3,,,,,
2018-10-15,725,724,1,,,,,
2018-10-16,894,894,0,,,,,
2018-10-17,569,568,1,,,,,
2018-10-18,438,435,3,,,,,
2018-10-19,867,853,14,,,,,
2018-10-20,820,809,11,,,,,
2018-10-21,649,634,15,,,,,
2018-10-22,490,486,4,,,,,
2018-10-23,457,444,13,,,,,
2018-10-24,377,370,7,,,,,
2018-10-25,380,379,1,,,,,
2018-10-26,769,765,4,,,,,
2018-10-27,303,301,2,,,,,
2018-10-28,95,95,0,,,,,
2018-10-29,74,72,2,,,,,
2018-10-30,24,24,0,,,,,
2018-10-31,148,148,0,,,,,
