DMS 포집내역 (2015.4.6 ~ 2015.10.31),,,,,2015년,포집량,모기,기타
2015-09-26,3596,3533,63,,,,,
2015-09-27,3184,3155,29,,,,,
2015-09-28,3618,3593,25,,,,,
2015-09-29,3880,3842,38,,,,,
2015-09-30,4197,4161,36,,,,,
2015-10-01,3189,3169,20,,,,,
2015-10-02,989,980,9,,,,,
2015-10-03,5070,5026,44,,,,,
2015-10-04,2586,2571,15,,,,,
2015-10-05,2477,2453,24,,,,,
2015-10-06,1919,1902,17,,,,,
2015-10-07,2397,2386,11,,,,,
2015-10-08,1971,1959,12,,,,,
2015-10-09,1942,1935,7,,,,,
2015-10-10,1473,1466,7,,,,,
2015-10-11,566,560,6,,,,,
2015-10-12,397,394,3,,,,,
2015-10-13,904,898,6,,,,,
2015-10-14,1529,1524,5,,,,,
2015-10-15,1606,1599,7,,,,,
2015-10-16,1752,1745,7,,,,,
2015-10-17,1823,1821,2,,,,,
2015-10-18,2032,2028,4,,,,,
2015-10-19,2141,2131,10,,,,,
2015-10-20,2506,2489,17,,,,,
2015-10-21,2344,2338,6,,,,,
2015-10-22,2611,2604,7,,,,,
2015-10-23,2429,2422,7,,,,,
2015-10-24,4189,4177,12,,,,,
2015-10-25,2165,2153,12,,,,,
2015-10-26,1791,1785,6,,,,,
2015-10-27,1216,1212,4,,,,,
2015-10-28,255,252,3,,,,,
2015-10-29,330,326,4,,,,,
2015-10-30,151,151,0,,,,,
2015-10-31,27,27,0,,,,,
