DMS 포집내역 (2017.4.17 ~ 2017.10.31),,,,,2017년,포집량,모기,기타
2017-08-10,3726,3702,24,,,,,
2017-08-11,3943,3911,32,,,,,
2017-08-12,3967,3936,31,,,,,
2017-08-13,4074,4018,56,,,,,
2017-08-14,3674,3627,47,,,,,
2017-08-15,3640,3615,25,,,,,
2017-08-16,3372,3351,21,,,,,
2017-08-17,3695,3658,37,,,,,
2017-08-18,3382,3363,19,,,,,
2017-08-19,3972,3944,28,,,,,
2017-08-20,4008,3978,30,,,,,
2017-08-21,3853,3829,24,,,,,
2017-08-22,3875,3847,28,,,,,
2017-08-23,3752,3702,50,,,,,
2017-08-24,3708,3662,46,,,,,
2017-08-25,3185,3156,29,,,,,
2017-08-26,4130,4089,41,,,,,
2017-08-27,3430,3381,49,,,,,
2017-08-28,3015,2979,36,,,,,
2017-08-29,2379,2347,32,,,,,
2017-08-30,3046,3011,35,,,,,
2017-08-31,2877,2853,24,,,,,
2017-09-01,3470,3435,35,,,,,
2017-09-02,2964,2928,36,,,,,
2017-09-03,3194,3160,34,,,,,
2017-09-04,3589,3549,40,,,,,
2017-09-05,3351,3307,44,,,,,
2017-09-06,3053,2985,68,,,,,
2017-09-07,2898,2874,24,,,,,
2017-09-08,3564,3519,45,,,,,
2017-09-09,3839,3789,50,,,,,
2017-09-10,3825,3774,51,,,,,
2017-09-11,3406,3365,41,,,,,
2017-09-12,3588,3546,42,,,,,
2017-09-13,4328,4284,44,,,,,
2017-09-14,3752,3709,43,,,,,
2017-09-15,3864,3811,53,,,,,
2017-09-16,3302,3255,47,,,,,
2017-09-17,3373,3308,66,,,,,
2017-09-18,3531,3478,53,,,,,
2017-09-19,3621,3572,49,,,,,
2017-09-20,3363,3330,33,,,,,
2017-09-21,3271,3217,54,,,,,
2017-09-22,3416,3379,37,,,,,
2017-09-23,3591,3556,35,,,,,
2017-09-24,3928,3899,29,,,,,
2017-09-25,4255,4201,54,,,,,
2017-09-26,3750,3692,58,,,,,
2017-09-27,3547,3511,36,,,,,
2017-09-28,4052,3975,77,,,,,
2017-09-29,3374,3302,72,,,,,
2017-09-30,3467,3436,31,,,,,
2017-10-01,3199,3161,38,,,,,
2017-10-02,2363,2342,21,,,,,
2017-10-03,4357,4307,50,,,,,
2017-10-04,3323,3281,42,,,,,
2017-10-05,3623,3553,70,,,,,
2017-10-06,3694,3638,56,,,,,
2017-10-07,2766,2741,25,,,,,
2017-10-08,3708,3672,36,,,,,
2017-10-09,3794,3771,23,,,,,
2017-10-10,3528,3500,28,,,,,
2017-10-11,2752,2718,34,,,,,
2017-10-12,1654,1610,44,,,,,
2017-10-13,677,672,5,,,,,
2017-10-14,1715,1701,14,,,,,
2017-10-15,2593,2566,27,,,,,
2017-10-16,2878,2833,45,,,,,
2017-10-17,2449,2416,33,,,,,
2017-10-18,2498,2473,25,,,,,
2017-10-19,1791,1773,18,,,,,
2017-10-20,2180,2133,47,,,,,
2017-10-21,1830,1818,12,,,,,
2017-10-22,2311,2293,18,,,,,
2017-10-23,1865,1825,40,,,,,
2017-10-24,1204,1189,15,,,,,
2017-10-25,1125,1109,16,,,,,
2017-10-26,1380,1361,19,,,,,
2017-10-27,1649,1619,30,,,,,
2017-10-28,1484,1469,15,,,,,
2017-10-29,1695,1671,24,,,,,
2017-10-30,153,149,4,,,,,
2017-10-31,158,154,4,,,,,
